,year,temp_winter,temp_summer,temp_annual,maxtemp_summer,mintemp_winter
0,1980,0.7773891177777777,22.819935740740743,10.792100393043478,36.70444444444445,-12.539380530973451
1,1981,3.2215878375000004,22.843713833333332,11.240036587939699,37.17458333333333,-9.680578512396693
2,1982,-0.20365221030493272,21.612221076233183,10.879676423745856,36.26479820627802,-16.973893805309736
3,1983,0.2431763628996282,20.78134241635688,9.620905287413793,34.0589219330855,-15.273893805309735
4,1984,-1.2623772386363639,21.450322045454545,8.895733353982301,34.81098484848485,-18.656194690265487
5,1985,-1.190768062173913,22.960838217391306,9.736100102150537,37.11869565217392,-18.750862068965517
6,1986,2.0807755945945945,21.93838216216216,11.650817772222222,34.554054054054056,-12.105752212389381
7,1987,-0.6463558850574712,21.471745977011494,10.08102268161435,33.710153256704984,-14.347345132743364
8,1988,-1.4094714869888476,22.738839814126393,9.449284439655173,35.196096654275095,-16.122566371681415
9,1989,-2.027320552036199,22.129639411764707,10.532511189944135,37.79253393665158,-19.955785123966944
10,1990,-0.29256793763948497,22.76037969957082,11.742208650418847,36.75858369098712,-14.541150442477875
11,1991,-2.3064783759124086,21.78924715328467,9.51642645887446,34.13211678832117,-24.80929203539823
12,1992,-1.4644571740890686,21.24652012145749,9.794091924170617,33.888056680161945,-14.396017699115044
13,1993,-1.476261752293578,20.913006834862387,10.064734145251396,34.35183486238532,-14.182231404958678
14,1994,-0.674322962890625,24.029990234375,11.46280375774648,36.7953125,-14.543805309734514
15,1995,1.4997593731800767,21.57124295019157,10.777970139366516,36.80325670498084,-10.78716814159292
16,1996,1.3586486035242291,23.741972511013213,11.581405604166667,35.63590308370044,-12.626991150442477
17,1997,0.5746296329113925,21.69681945147679,11.062671321393035,35.0246835443038,-13.941735537190082
18,1998,-0.2028417324460432,21.982958633093524,11.00399166220339,36.694244604316545,-11.914601769911503
19,1999,1.6197688676,21.114511399999998,10.975357099514564,33.755199999999995,-15.321681415929202
20,2000,1.1615855265402841,23.443848672985784,11.015025694252873,36.37938388625592,-12.777433628318583
21,2001,0.14602766094420602,22.74542811158798,11.512891780927834,35.637124463519314,-13.23677685950413
22,2002,-1.14726130078125,23.639759765625,11.119574931363635,36.68203125,-14.488938053097344
23,2003,1.104849569266055,23.71536105504587,11.380780963218392,37.53394495412844,-12.447345132743363
24,2004,-1.062541792173913,22.231951652173915,10.30385538556701,34.73913043478261,-15.356194690265486
25,2005,1.1561874725,21.810873374999996,10.503855318592965,37.83458333333333,-14.514462809917354
26,2006,0.44152938996138996,23.35283667953668,11.313435853070176,36.47895752895753,-15.207522123893806
27,2007,-0.5274040276497696,23.39715562211982,11.733128537572254,35.745391705069125,-16.6
28,2008,-2.5217912090163934,21.791154918032788,8.711104,34.74713114754099,-18.90575221238938
29,2009,-0.047732687179487185,21.953431794871793,10.142833742786069,35.81153846153846,-17.551724137931036
30,2010,-2.5925047190082644,22.09278950413223,10.560948287081338,37.280578512396694,-17.48982300884956
31,2011,-1.0309356004784689,22.43786626794258,10.600896334131736,35.31746411483253,-23.09051724137931
32,2012,-0.1675761398091603,23.44907740458015,11.236849381858407,35.28396946564885,-15.001327433628319
33,2013,-1.3968601174089068,22.47915259109312,10.444270236966824,38.09655870445344,-19.712931034482757
34,2014,0.4173718897959184,21.557437836734692,11.725330882524274,35.42795918367347,-17.97566371681416
35,2015,1.6010745093457943,21.736249065420562,11.426439070175439,35.80981308411215,-15.332758620689656
36,2016,-1.2851903158914728,23.18094930232558,10.31678123150685,37.44186046511628,-16.940265486725664
37,2017,0.8506863508264463,23.66852917355372,11.466444697087379,37.042561983471074,-15.049137931034483
38,2018,1.875199526446281,23.987321694214877,12.899734605999999,35.26528925619835,-12.76504424778761
39,2021,0.5358453430472466,23.45900452489166,11.669818939852481,36.85360744107388,-15.342008313279372
40,2022,1.0991208474671157,24.00778990844996,12.108498470924934,37.731397453435754,-13.389423076923077
41,2023,1.1379741640961174,23.861793605190968,11.967798172844246,37.23948406836885,-13.486490384615385
42,2024,1.4729778799824154,24.258524242584745,12.20657779173028,37.81228389830509,-13.198068131868132
