,year,pct_treecanopy,pct_annual_herbcov,pct_bareground,pct_herbcov,pct_plantlittercov,pct_shrubcov
0,1980,10.704188481675393,0.17539267015706805,55.238219895287955,9.850785340314136,12.039267015706807,15.832460732984293
1,1981,8.835227272727273,0.48295454545454547,55.94602272727273,9.443181818181818,12.028409090909092,15.801136363636363
2,1982,11.077611940298507,0.15522388059701492,55.53134328358209,9.728358208955225,11.928358208955224,15.91044776119403
3,1983,10.070866141732283,0.17585301837270342,55.16010498687664,9.62992125984252,11.774278215223097,15.36745406824147
4,1984,10.382978723404255,0.13829787234042554,56.3563829787234,9.654255319148936,11.789893617021276,15.577127659574469
5,1985,9.058479532163743,0.32748538011695905,56.14912280701754,9.467836257309942,11.812865497076023,15.409356725146198
6,1986,10.095808383233534,0.20958083832335328,56.25149700598802,9.676646706586826,11.784431137724551,15.571856287425149
7,1987,9.597855227882038,0.21983914209115282,54.656836461126005,9.788203753351207,12.056300268096514,15.605898123324398
8,1988,10.503937007874017,0.13648293963254593,56.666666666666664,9.556430446194225,11.595800524934383,15.217847769028872
9,1989,9.15015015015015,0.43543543543543545,55.88288288288288,9.381381381381381,12.042042042042041,16.08108108108108
10,1990,10.127536231884058,0.15072463768115943,56.89565217391304,9.571014492753623,11.707246376811595,15.30144927536232
11,1991,9.427461139896373,0.2772020725388601,53.84455958549223,10.041450777202073,12.349740932642487,16.036269430051814
12,1992,10.45125348189415,0.14484679665738162,57.459610027855156,9.484679665738161,11.353760445682452,15.100278551532034
13,1993,9.224242424242425,0.3939393939393939,57.13636363636363,9.212121212121213,11.596969696969698,15.6
14,1994,10.657608695652174,0.14130434782608695,56.54891304347826,9.625,11.80163043478261,15.402173913043478
15,1995,9.726541554959786,0.353887399463807,54.06702412868633,9.959785522788204,12.243967828418231,15.863270777479892
16,1996,10.20353982300885,0.15339233038348082,57.48377581120944,9.424778761061948,11.333333333333334,15.00589970501475
17,1997,9.243553008595988,0.32951289398280803,57.98853868194843,9.134670487106018,11.355300859598854,15.183381088825215
18,1998,10.810256410256411,0.1717948717948718,55.64102564102564,9.782051282051283,11.984615384615385,15.956410256410257
19,1999,9.806629834254144,0.2955801104972376,54.9171270718232,9.585635359116022,11.9060773480663,15.62707182320442
20,2000,10.176470588235293,0.1609907120743034,57.863777089783284,9.281733746130032,11.23219814241486,14.820433436532507
21,2001,9.797101449275363,0.2463768115942029,57.869565217391305,9.02608695652174,11.202898550724637,14.817391304347826
22,2002,10.657608695652174,0.18206521739130435,55.35054347826087,9.709239130434783,12.320652173913043,15.894021739130435
23,2003,9.481818181818182,0.30303030303030304,55.95757575757576,9.548484848484849,11.666666666666666,15.539393939393939
24,2004,10.32748538011696,0.15204678362573099,58.12280701754386,9.31578947368421,11.12280701754386,14.625730994152047
25,2005,9.440340909090908,0.1903409090909091,56.57386363636363,9.235795454545455,11.724431818181818,15.025568181818182
26,2006,10.69811320754717,0.2210242587601078,55.74932614555256,9.606469002695418,12.118598382749326,15.703504043126685
27,2007,9.279635258358663,0.303951367781155,56.1580547112462,9.51063829787234,11.775075987841944,15.74164133738602
28,2008,10.148876404494382,0.14606741573033707,56.6376404494382,9.46629213483146,11.367977528089888,15.0561797752809
29,2009,10.3121387283237,0.1936416184971098,56.85549132947977,9.352601156069364,11.38728323699422,14.945086705202312
30,2010,10.251412429378531,0.18926553672316385,55.99717514124294,9.67231638418079,12.084745762711865,15.502824858757062
31,2011,9.457943925233645,0.3582554517133956,55.442367601246104,9.476635514018692,12.040498442367602,15.975077881619939
32,2012,10.494652406417112,0.13903743315508021,55.43582887700535,9.852941176470589,11.82620320855615,15.628342245989305
33,2013,10.623955431754874,0.18662952646239556,56.47353760445682,9.364902506963789,11.442896935933147,15.13649025069638
34,2014,10.596638655462185,0.22969187675070027,55.515406162464984,9.703081232492996,12.364145658263306,15.893557422969188
35,2015,9.248466257668712,0.3834355828220859,56.104294478527606,9.49079754601227,11.754601226993865,15.757668711656441
36,2016,10.632432432432433,0.14054054054054055,56.81351351351351,9.562162162162162,11.283783783783784,15.186486486486487
37,2017,10.771186440677965,0.18926553672316385,56.70056497175141,9.288135593220339,11.285310734463277,15.064971751412429
38,2018,10.36723163841808,0.18926553672316385,55.28813559322034,9.847457627118644,12.305084745762711,15.92090395480226
39,2021,9.754106592066567,0.2317624273724984,56.8632809698013,9.497597015995984,11.61129043827559,15.242235133778065
40,2022,9.625402274190089,0.22462990774511907,56.43502824858757,9.522277050704426,11.832653936923407,15.460702281341629
41,2023,9.57515403352916,0.22933084969193293,56.49964178249033,9.529588766298897,11.766585470697807,15.356498065625448
42,2024,9.736422413793104,0.2185344827586207,56.72492816091954,9.476508620689655,11.733908045977012,15.333908045977012
