,year,drysoildays_summer,evap_summer,xtr_st_drysoilstress_summer,frostdays_winter,nondry_swa_summer
0,1980,9.017699115044248,1.5208795154161574,35.84495575221239,76.47787610619469,0.2405799628065388
1,1981,5.950413223140496,5.34339880568493,35.732314049586776,77.29752066115702,0.07626884720900412
2,1982,6.6902654867256635,4.465536137939061,34.57221238938053,83.50442477876106,0.3243659798243607
3,1983,4.238938053097345,5.481657563943632,33.17539823008849,84.52212389380531,0.3735330802757962
4,1984,5.451327433628318,5.435676883415951,33.44805309734513,91.0,0.15593416181544906
5,1985,6.7155172413793105,2.148534853563064,35.878362068965515,87.5603448275862,0.2570769583172789
6,1986,6.327433628318584,4.645824403851648,33.72575221238938,74.33628318584071,0.22412833685437877
7,1987,5.123893805309734,4.492796434844592,32.70699115044248,85.48672566371681,0.497110323428449
8,1988,6.654867256637168,4.7474795593455426,34.11079646017699,85.52212389380531,0.14574830643176456
9,1989,6.925619834710743,3.322601439588007,36.15867768595041,86.07438016528926,0.1494341685191795
10,1990,12.52212389380531,3.1519771783865616,35.69115044247788,83.02654867256638,0.023257057233308023
11,1991,7.575221238938053,4.181810629316663,33.1170796460177,85.06194690265487,0.09501459304222251
12,1992,6.663716814159292,3.9299871598149387,32.95796460176991,86.14159292035399,0.22651941702394973
13,1993,7.636363636363637,2.676672652650553,33.29190082644628,84.10743801652893,0.29394041835788104
14,1994,9.920353982300885,2.1195030502434182,35.92513274336283,84.69911504424779,0.02945264817512626
15,1995,6.628318584070796,4.470491678829208,34.96725663716814,68.46017699115045,0.23261905006892722
16,1996,14.327433628318584,3.404188770369718,34.94371681415929,66.89380530973452,0.005287151370620595
17,1997,4.892561983471074,3.8225910483286705,33.05264462809917,71.14049586776859,0.4812903758960003
18,1998,7.0265486725663715,3.3256240241139183,35.242300884955746,85.26548672566372,0.15796372855862112
19,1999,3.9469026548672566,6.323646714830086,32.60530973451328,73.10619469026548,0.5831791587463543
20,2000,10.0,3.2099110544230247,35.447433628318585,66.70796460176992,0.02161079267087776
21,2001,5.305785123966942,4.179830303843389,34.79669421487603,80.44628099173553,0.21608335230058043
22,2002,14.008849557522124,2.366163568630012,35.75778761061947,86.40707964601769,0.0038495396470173957
23,2003,7.716814159292035,3.3005457663073003,36.389734513274334,75.56637168141593,0.09745667157069028
24,2004,10.150442477876107,2.100866069163935,33.727522123893806,82.1858407079646,0.06000963216980219
25,2005,5.198347107438017,3.972797729727349,36.862561983471075,68.52892561983471,0.3460057287166173
26,2006,7.557522123893805,4.282671630503211,35.24,84.14159292035399,0.08535301068500942
27,2007,7.163793103448276,3.808420181205344,35.289224137931036,81.44827586206897,0.14374146661779055
28,2008,6.123893805309734,3.461449809239787,33.7075221238938,80.47787610619469,0.1989254676650475
29,2009,8.689655172413794,2.049706495168205,34.44818965517241,75.9396551724138,0.05229368962252584
30,2010,4.867256637168142,4.3990722599369985,35.190353982300884,87.07964601769912,0.5828753282999477
31,2011,7.818965517241379,3.914784999736938,34.375689655172415,77.51724137931035,0.06814201897328157
32,2012,8.15929203539823,2.9430016742788547,34.70380530973451,88.38053097345133,0.1643115427165346
33,2013,8.793103448275861,3.0867596559486277,35.738362068965515,82.82758620689656,0.2227211991009856
34,2014,6.353982300884955,3.5072720848050927,34.024955752212385,72.29203539823008,0.20655619118540486
35,2015,3.2844827586206895,5.4175904083777455,34.44086206896552,60.93103448275862,0.40808878691958667
36,2016,6.20353982300885,3.712359212335434,35.563628318584065,76.95575221238938,0.20761690985194892
37,2017,6.448275862068965,3.195672499062365,35.59801724137931,63.172413793103445,0.10157646702690976
38,2018,13.070796460176991,2.090914557768855,34.55353982300885,70.35398230088495,0.032599638906089246
39,2021,7.23583460949464,3.5112218622506273,35.5814341356674,75.27805731787355,0.27112966232499164
40,2022,7.535620629370629,3.2798040642361665,36.44805616258741,72.92657342657343,0.23768942231476473
41,2023,6.895541958041958,3.7177197348581483,35.961918452120685,72.84112762237763,0.38469040021161394
42,2024,7.730549450549451,3.0303734163411065,36.65701253573785,72.53318681318682,0.32759078003805286
